ID,FINYEAR,LAST_NAME,FIRST_NAME,COLLEGE,MAJOR,FEE_RESIDENCE,AMT_TOTAL
PI2704,2019,Ellicombe,Cassandra,Agriculture,"Animal Sciences, BS",Y,12061.5
PI2708,2019,Byard,Myrtie,Human Sciences & Education,"Kinesiology, BS",Y,8262.0
PI2716,2019,Baseley,Leonardo,Mass Communication,"Mass Communication, BA",Y,4131.0
PI2717,2019,Sussems,Brandy,Agriculture,"Animal Sciences, BS",Y,23938.0
PI2725,2019,Spurden,Broderic,Science,"Mathematics, BS",Y,40070.0
PI2729,2019,Prevett,Sidonia,Science,"Biological Sciences, BS",Y,12695.369999999999
PI2730,2019,Levens,Paulo,Science,"Biological Sciences, BS",Y,27304.67
PI2732,2019,Silbermann,Manfred,Business,"Marketing, BS",Y,18308.97
PI2734,2019,Hartly,Jacques,Human Sciences & Education,"Kinesiology, BS",Y,5980.0
PI2735,2019,Sandever,Domenico,Humanities & Social Sciences,"English, BA",Y,1980.0
PI2737,2019,McMeekin,Lamond,Mass Communication,"Mass Communication, BA",Y,5938.0
PI2739,2019,Russ,Tabbie,Mass Communication,"Mass Communication, BA",Y,14389.0
PI2740,2019,Rea,Tammie,Mass Communication,"Mass Communication, BA",Y,14176.0
PI2742,2019,Wavish,Bernadene,Mass Communication,"Mass Communication, BA",Y,10221.04
PI2744,2019,Duthie,Isa,Humanities & Social Sciences,"English, BA",Y,21368.010000000002
PI2746,2019,Matus,Halsey,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI2748,2019,Mintrim,Gordie,Business,"Marketing, BS",Y,20284.0
PI2752,2019,Jzak,Kattie,Science,"Biological Sciences, BS",Y,7462.0
PI2755,2019,Winspear,Base,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI2756,2019,Puttrell,Menard,Engineering,"Computer Science, BS",Y,12368.0
PI2757,2019,Fozard,Galvan,Business,"Marketing, BS",Y,9262.0
PI2770,2019,Tuffield,Garrek,Engineering,"Mechanical Engineering, BS",Y,5770.0
PI2771,2019,Burnsides,Merilee,Agriculture,"Animal Sciences, BS",Y,7462.0
PI2772,2019,Miche,Wendye,Engineering,"Computer Science, BS",Y,7862.0
PI2775,2019,Triswell,Ogden,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI2780,2019,Dictus,Gregoire,Engineering,"Mechanical Engineering, BS",Y,8262.0
PI2787,2019,Jehu,Durante,Science,"Biological Sciences, BS",Y,3381.0
PI2792,2019,Galiero,Margaux,Engineering,"Computer Science, BS",Y,21564.0
PI2794,2019,Udale,Camilla,Agriculture,"Animal Sciences, BS",Y,6825.0
PI2795,2019,Morten,Ellyn,Science,"Biological Sciences, BS",Y,7462.0
PI2796,2019,Pichmann,Jule,Mass Communication,"Mass Communication, BA",Y,7462.0
PI2797,2019,Le Batteur,Obie,Agriculture,"Animal Sciences, BS",Y,9965.0
PI2799,2019,Kenson,Nicolette,Engineering,"Computer Science, BS",Y,40070.0
PI2802,2019,Josephov,Evyn,Science,"Biological Sciences, BS",Y,10112.82
PI2810,2019,Kolodziej,Kayne,Science,"Biological Sciences, BS",Y,1980.0
PI2811,2019,Twopenny,Madeline,Mass Communication,"Mass Communication, BA",Y,8262.0
PI2812,2019,Bampford,Wilmer,Mass Communication,"Mass Communication, BA",Y,12768.0
PI2814,2019,Cranna,Agace,Business,"Marketing, BS",Y,27776.0
PI2818,2019,Jozsef,Hurley,Engineering,"Mechanical Engineering, BS",Y,20284.0
PI2819,2019,Portis,Reiko,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI2823,2019,Shinn,Corey,Human Sciences & Education,"Kinesiology, BS",Y,14957.0
PI2824,2019,Braune,Kassia,Human Sciences & Education,"Kinesiology, BS",Y,32466.18
PI2826,2019,Castellone,Franzen,Science,"Biological Sciences, BS",Y,9812.0
PI2827,2019,Cranston,Thain,Engineering,"Mechanical Engineering, BS",N,3958.0
PI2831,2019,Birtley,Lexine,Human Sciences & Education,"Kinesiology, BS",Y,17997.989999999998
PI2835,2019,Basilone,Orsa,Science,"Biological Sciences, BS",Y,9471.0
PI2838,2019,Trelease,Tanya,Human Sciences & Education,"Kinesiology, BS",N,5442.0
PI2839,2019,Thomkins,Hillery,Mass Communication,"Mass Communication, BA",Y,10399.0
PI2840,2019,Gallehawk,James,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI2842,2019,Guarnier,Betsy,Engineering,"Mechanical Engineering, BS",Y,8262.0
PI2845,2019,Vida,Rosaleen,Science,"Biological Sciences, BS",Y,3731.0
PI2849,2019,Roebuck,Craggie,Science,"Biological Sciences, BS",Y,19406.31
PI2850,2019,Barnwille,Prent,Humanities & Social Sciences,"English, BA",Y,7862.0
PI2856,2019,Torre,Moira,Mass Communication,"Mass Communication, BA",Y,24388.0
PI2867,2019,Veness,Bran,Agriculture,"Animal Sciences, BS",Y,19796.17
PI2869,2019,Werlock,Rania,Agriculture,"Animal Sciences, BS",Y,4330.0
PI2872,2019,Ugo,Claudius,Business,"Marketing, BS",Y,23991.0
PI2873,2019,Acory,Syman,Human Sciences & Education,"Kinesiology, BS",N,3335.0
PI2874,2019,Wiffield,Ivan,Mass Communication,"Mass Communication, BA",Y,3463.0
PI2876,2019,Say,Clay,Science,"Chemistry, BS",Y,7462.0
PI2877,2019,Skelding,Sharia,Agriculture,"Animal Sciences, BS",Y,26054.27
PI2887,2019,Roj,Graeme,Humanities & Social Sciences,"English, BA",Y,17087.0
PI2893,2019,Abbes,Dilan,Engineering,"Mechanical Engineering, BS",N,1980.0
PI2894,2019,Metzig,Cinnamon,Science,"Biological Sciences, BS",Y,13523.0
PI2903,2019,Franck,Delbert,Science,"Biological Sciences, BS",Y,11960.6
PI2904,2019,Tomich,Salim,Human Sciences & Education,"Kinesiology, BS",Y,3931.0
PI2908,2019,Brownett,Isiahi,Human Sciences & Education,"Kinesiology, BS",Y,8262.0
PI2910,2019,Riddett,Dahlia,Human Sciences & Education,"Kinesiology, BS",Y,7862.0
PI2911,2019,Tilsley,Norah,Engineering,"Computer Science, BS",Y,6432.0
PI2914,2019,Gaber,Garret,Engineering,"Computer Science, BS",Y,154.0
PI2915,2019,Garratty,Francesco,Human Sciences & Education,"Kinesiology, BS",Y,11421.0
PI2917,2019,Fairfull,Vidovic,Mass Communication,"Mass Communication, BA",Y,15152.0
PI2918,2019,Ondricek,Blondy,Human Sciences & Education,"Kinesiology, BS",Y,12387.0
PI2919,2019,Lynock,Tersina,Science,"Biological Sciences, BS",Y,7462.0
PI2921,2019,Hodjetts,Moishe,Human Sciences & Education,"Kinesiology, BS",Y,7862.0
PI2923,2019,Yeude,Stormi,Mass Communication,"Mass Communication, BA",Y,14294.0
PI2924,2019,Allgood,Antons,Science,"Biological Sciences, BS",Y,7862.0
PI2925,2019,Fenich,Elwyn,Science,"Biological Sciences, BS",Y,13522.0
PI2926,2019,McCrie,Doretta,Human Sciences & Education,"Kinesiology, BS",Y,2247.0
PI2929,2019,O'Neal,Cristobal,Human Sciences & Education,"Kinesiology, BS",Y,12938.0
PI2930,2019,McClelland,Isidor,Science,"Biological Sciences, BS",Y,7462.0
PI2931,2019,Colly,Marlo,Science,"Biological Sciences, BS",Y,4013.0
PI2932,2019,Dinwoodie,Dyna,Science,"Biological Sciences, BS",Y,24804.87
PI2933,2019,Wimbury,Jarrod,Humanities & Social Sciences,"English, BA",Y,7862.0
PI2940,2019,Coronas,Man,Human Sciences & Education,"Kinesiology, BS",Y,14217.74
PI2941,2019,Iceton,Shae,Mass Communication,"Mass Communication, BA",Y,7462.0
PI2943,2019,Sarten,Gilli,Engineering,"Mechanical Engineering, BS",N,23625.0
PI2945,2019,Petrowsky,Oates,Agriculture,"Animal Sciences, BS",Y,7442.0
PI2947,2019,Peterkin,Vi,Human Sciences & Education,"Kinesiology, BS",Y,2673.0
PI2948,2019,Klemps,Archaimbaud,Human Sciences & Education,"Kinesiology, BS",N,53902.36
PI2952,2019,Freyn,Patton,Business,"Marketing, BS",Y,7462.0
PI2953,2019,Forseith,Gabriella,Science,"Biological Sciences, BS",Y,13980.54
PI2956,2019,Pynn,Philbert,Engineering,"Computer Science, BS",Y,7462.0
PI2957,2019,Hawick,Maddi,Human Sciences & Education,"Kinesiology, BS",Y,5442.0
PI2958,2019,Trevers,Flin,Mass Communication,"Mass Communication, BA",Y,25145.93
PI2959,2019,Lindermann,Fletcher,Engineering,"Computer Science, BS",Y,19414.39
PI2961,2019,Trenholm,Pepillo,Science,"Biological Sciences, BS",Y,22385.940000000002
PI2963,2019,Frichley,Bram,Human Sciences & Education,"Kinesiology, BS",Y,7619.0
PI2964,2019,Mannion,Farleigh,Engineering,"Computer Science, BS",Y,14621.08
PI2965,2019,Capper,Earlie,Human Sciences & Education,"Kinesiology, BS",Y,9262.0
PI2967,2019,Sandever,Orbadiah,Humanities & Social Sciences,"English, BA",Y,3700.0
PI2970,2019,Whilde,Vitoria,Engineering,"Mechanical Engineering, BS",Y,9262.0
PI2971,2019,Freckingham,Balduin,Mass Communication,"Mass Communication, BA",Y,13208.529999999999
PI2972,2019,Busst,Domini,Human Sciences & Education,"Kinesiology, BS",Y,4131.0
PI2973,2019,Anthonsen,Margarita,Science,"Biological Sciences, BS",Y,11431.8
PI2977,2019,Mcwhinnie,Zared,Science,"Biological Sciences, BS",Y,15521.0
PI2978,2019,Rickhuss,Erina,Human Sciences & Education,"Kinesiology, BS",Y,4131.0
PI2979,2019,Shiels,Sheri,Human Sciences & Education,"Kinesiology, BS",N,10673.0
PI2983,2019,Reyna,Jeralee,Agriculture,"Animal Sciences, BS",Y,8384.0
PI2988,2019,Woodman,Borg,Engineering,"Computer Science, BS",Y,7462.0
PI2989,2019,Stanyforth,Cecil,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI2990,2019,Thickpenny,Shaun,Science,"Biological Sciences, BS",Y,11089.27
PI2991,2019,Lewty,Sigfrid,Engineering,"Computer Science, BS",Y,13532.0
PI2992,2019,Bowers,Micki,Business,"Marketing, BS",N,9968.810000000001
PI2993,2019,Stennet,Cris,Mass Communication,"Mass Communication, BA",Y,21606.0
PI2994,2019,Hurdedge,Parry,Agriculture,"Animal Sciences, BS",Y,18450.0
PI2996,2019,Zieme,Elsinore,Business,"Marketing, BS",Y,7862.0
PI2997,2019,Severn,Shellie,Engineering,"Computer Science, BS",Y,1980.0
PI2999,2019,Guildford,Dedie,Business,"Marketing, BS",Y,22614.0
PI0003,2020,Daouse,Kristin,Human Sciences & Education,"Kinesiology, BS",Y,14259.0
PI0006,2020,Astin,Mandi,Science,"Biological Sciences, BS",Y,10027.0
PI0009,2020,Dyott,Georges,Human Sciences & Education,"Kinesiology, BS",Y,19445.0
PI0012,2020,Brearton,Chris,Engineering,"Mechanical Engineering, BS",Y,26262.0
PI0013,2020,Cogswell,Bibby,Human Sciences & Education,"Kinesiology, BS",Y,11866.76
PI0014,2020,Loades,Aymer,Engineering,"Computer Science, BS",Y,15284.0
PI0015,2020,McGann,Henry,Engineering,"Computer Science, BS",Y,21695.0
PI0016,2020,Pape,Merle,Engineering,"Mechanical Engineering, BS",Y,5963.0
PI0020,2020,Cockshutt,Oneida,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0022,2020,Ivel,Nathanial,Humanities & Social Sciences,"English, BA",Y,21223.0
PI0024,2020,Minkin,Halsey,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI0026,2020,Jekel,Reece,Business,"Marketing, BS",Y,8262.0
PI0031,2020,Dadswell,Lennard,Human Sciences & Education,"Kinesiology, BS",Y,9796.0
PI0033,2020,McCrohon,Doretta,Human Sciences & Education,"Kinesiology, BS",Y,28152.28
PI0035,2020,Behrend,Wittie,Engineering,"Mechanical Engineering, BS",Y,15039.0
PI0039,2020,Buckberry,Bartram,Engineering,"Computer Science, BS",Y,12179.0
PI0040,2020,Addess,Cyrille,Mass Communication,"Mass Communication, BA",Y,9819.0
PI0042,2020,Clack,Vyky,Human Sciences & Education,"Kinesiology, BS",Y,6260.0
PI0043,2020,Scurr,Brod,Mass Communication,"Mass Communication, BA",Y,4474.0
PI0045,2020,Alliker,Rosalie,Science,"Biological Sciences, BS",Y,18659.82
PI0050,2020,Richter,Dael,Science,"Biological Sciences, BS",Y,8782.0
PI0054,2020,Bollini,Rivkah,Science,"Mathematics, BS",Y,21458.0
PI0056,2020,Newcom,Ardyth,Human Sciences & Education,"Kinesiology, BS",Y,27885.84
PI0058,2020,Emmanuele,Glen,Human Sciences & Education,"Kinesiology, BS",Y,6446.0
PI0062,2020,Jecock,Marta,Mass Communication,"Mass Communication, BA",Y,10812.0
PI0066,2020,D'Aguanno,Alfi,Science,"Biological Sciences, BS",Y,20284.0
PI0067,2020,Denisard,Shina,Agriculture,"Animal Sciences, BS",Y,5906.0
PI0072,2020,Busswell,Koenraad,Science,"Chemistry, BS",Y,9262.0
PI0073,2020,Seargeant,Doralin,Engineering,"Mechanical Engineering, BS",Y,17878.34
PI0079,2020,Beade,Jayson,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0080,2020,Gerler,Lorenza,Human Sciences & Education,"Kinesiology, BS",Y,9842.0
PI0081,2020,Houselee,Car,Science,"Biological Sciences, BS",Y,6425.0
PI0083,2020,Fuster,Ebony,Business,"Marketing, BS",Y,13522.0
PI0085,2020,Struijs,Kary,Human Sciences & Education,"Kinesiology, BS",N,3335.0
PI0092,2020,Leggon,Ari,Humanities & Social Sciences,"English, BA",Y,5711.0
PI0093,2020,Moorerud,Maggy,Human Sciences & Education,"Kinesiology, BS",Y,13860.0
PI0094,2020,Burhill,Rodolphe,Mass Communication,"Mass Communication, BA",Y,3731.0
PI0097,2020,Deedes,Nissie,Mass Communication,"Mass Communication, BA",Y,7862.0
PI0102,2020,Folkard,Marcelle,Engineering,"Mechanical Engineering, BS",Y,7862.0
PI0110,2020,Masselin,Kerwinn,Human Sciences & Education,"Kinesiology, BS",Y,20284.0
PI0113,2020,Fasham,Ashil,Science,"Biological Sciences, BS",Y,8807.0
PI0114,2020,Morter,Lezley,Science,"Biological Sciences, BS",Y,21710.0
PI0117,2020,Romme,Ber,Science,"Biological Sciences, BS",Y,10000.0
PI0122,2020,Pulfer,Adel,Agriculture,"Animal Sciences, BS",Y,11607.0
PI0125,2020,Manginot,Kirsteni,Science,"Biological Sciences, BS",Y,9399.07
PI0126,2020,Stockley,Jerrylee,Business,"Marketing, BS",N,5442.0
PI0129,2020,McGrey,Desmund,Agriculture,"Animal Sciences, BS",Y,8262.0
PI0131,2020,Falkinder,Trever,Engineering,"Computer Science, BS",Y,12407.0
PI0132,2020,McGeechan,Pammy,Science,"Biological Sciences, BS",Y,7462.0
PI0134,2020,Biskup,Adan,Business,"Marketing, BS",N,9944.0
PI0136,2020,MacFall,Witty,Engineering,"Computer Science, BS",Y,7422.0
PI0138,2020,Cundict,Keenan,Business,"Marketing, BS",Y,14787.0
PI0139,2020,MacCallum,Adrian,Business,"Marketing, BS",Y,7608.0
PI0142,2020,Ledes,Melisande,Human Sciences & Education,"Kinesiology, BS",N,14493.130000000001
PI0143,2020,Heeran,Gladi,Engineering,"Computer Science, BS",Y,13514.0
PI0144,2020,Gittis,Ulrika,Science,"Biological Sciences, BS",Y,10667.53
PI0147,2020,Kigelman,Darcy,Business,"Marketing, BS",N,4920.0
PI0148,2020,Gilhoolie,Ginevra,Science,"Biological Sciences, BS",Y,8262.0
PI0151,2020,Bambrugh,Janaye,Mass Communication,"Mass Communication, BA",Y,12989.060000000001
PI0153,2020,Mattocks,Mikel,Science,"Biological Sciences, BS",Y,3731.0
PI0157,2020,Disdel,Godwin,Engineering,"Mechanical Engineering, BS",N,26714.0
PI0158,2020,Foskett,Perri,Agriculture,"Animal Sciences, BS",Y,3931.0
PI0160,2020,Lacheze,Ado,Engineering,"Mechanical Engineering, BS",Y,11962.0
PI0165,2020,Maffei,Wake,Science,"Biological Sciences, BS",Y,9442.0
PI0166,2020,Picopp,Grove,Engineering,"Computer Science, BS",N,25041.0
PI0169,2020,Rudall,Elianore,Engineering,"Computer Science, BS",Y,9842.0
PI0177,2020,Lusty,Karena,Engineering,"Computer Science, BS",Y,11374.15
PI0178,2020,Yewdale,Janella,Human Sciences & Education,"Kinesiology, BS",Y,9454.0
PI0179,2020,Zannolli,Max,Agriculture,"Animal Sciences, BS",Y,18269.8
PI0181,2020,Sanham,Lillis,Human Sciences & Education,"Kinesiology, BS",Y,13626.0
PI0183,2020,Puller,Benjie,Mass Communication,"Mass Communication, BA",Y,3731.0
PI0184,2020,Bauser,Bobinette,Humanities & Social Sciences,"English, BA",Y,32626.0
PI0189,2020,Yele,Sibby,Humanities & Social Sciences,"English, BA",N,25881.0
PI0190,2020,Dmitrichenko,Shamus,Mass Communication,"Mass Communication, BA",Y,3731.0
PI0191,2020,Fieldgate,Marvin,Engineering,"Mechanical Engineering, BS",N,40072.0
PI0197,2020,Vispo,Ameline,Business,"Marketing, BS",Y,25577.87
PI0198,2020,Osbiston,Lew,Agriculture,"Animal Sciences, BS",Y,12623.96
PI0200,2020,Coe,Fonzie,Engineering,"Computer Science, BS",N,2115.0
PI0201,2020,Dowson,Dugald,Mass Communication,"Mass Communication, BA",N,50000.0
PI0204,2020,Wistance,Emanuele,Human Sciences & Education,"Kinesiology, BS",Y,22514.0
PI0205,2020,Creegan,Justus,Humanities & Social Sciences,"English, BA",Y,7462.0
PI0206,2020,Phizaclea,Clare,Mass Communication,"Mass Communication, BA",Y,24861.0
PI0207,2020,Chicchetto,Heather,Business,"Marketing, BS",Y,21761.92
PI0208,2020,Baggelley,Ulrike,Engineering,"Mechanical Engineering, BS",Y,4644.0
PI0212,2020,Dowsing,Robbin,Humanities & Social Sciences,"English, BA",Y,12442.0
PI0215,2020,Ambrodi,Aleece,Science,"Biological Sciences, BS",Y,20284.0
PI0216,2020,Roomes,Gherardo,Engineering,"Computer Science, BS",Y,7526.0
PI0218,2020,Simenon,Ozzy,Science,"Biological Sciences, BS",Y,7462.0
PI0222,2020,Kerrod,Reggi,Engineering,"Computer Science, BS",N,10960.0
PI0224,2020,Collum,Sholom,Science,"Mathematics, BS",Y,10569.0
PI0226,2020,Smallcomb,Auria,Human Sciences & Education,"Kinesiology, BS",Y,11090.94
PI0228,2020,Mccaull,Pandora,Human Sciences & Education,"Kinesiology, BS",Y,8262.0
PI0229,2020,Loiterton,Rozele,Engineering,"Computer Science, BS",Y,8925.0
PI0232,2020,Lount,Faythe,Agriculture,"Animal Sciences, BS",Y,7462.0
PI0236,2020,Bascombe,Claus,Human Sciences & Education,"Kinesiology, BS",Y,3098.0
PI0238,2020,Goodrick,Alexia,Human Sciences & Education,"Kinesiology, BS",Y,4131.0
PI0241,2020,Klaus,Glynda,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0243,2020,Gleave,Quentin,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0246,2020,Kissick,Clare,Human Sciences & Education,"Kinesiology, BS",Y,15213.0
PI0249,2020,Ciraldo,Lynn,Engineering,"Mechanical Engineering, BS",Y,13777.57
PI0252,2020,Porch,Felice,Science,"Biological Sciences, BS",Y,40070.0
PI0255,2020,Meldon,Casar,Science,"Biological Sciences, BS",N,7422.0
PI0256,2020,Ganforthe,Nicki,Science,"Biological Sciences, BS",Y,19963.0
PI0257,2020,Ciobutaru,Aloise,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0260,2020,Coughtrey,Olag,Science,"Biological Sciences, BS",Y,23809.7
PI0261,2020,Prandi,Antonino,Business,"Marketing, BS",Y,12137.0
PI0262,2020,Gazey,Alano,Mass Communication,"Mass Communication, BA",Y,12609.98
PI0263,2020,Gemeau,Yelena,Human Sciences & Education,"Kinesiology, BS",Y,15398.18
PI0266,2020,Dulling,Aymer,Engineering,"Computer Science, BS",Y,9552.0
PI0267,2020,O' Dooley,Wit,Business,"Marketing, BS",Y,20284.0
PI0272,2020,Podbury,Marven,Engineering,"Computer Science, BS",Y,10142.0
PI0274,2020,Cracker,Gearalt,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI0277,2020,Bellew,Molli,Science,"Biological Sciences, BS",Y,8636.970000000001
PI0279,2020,Marlon,Lynsey,Science,"Biological Sciences, BS",Y,11803.61
PI0282,2020,Heister,Arnold,Business,"Marketing, BS",Y,7422.0
PI0283,2020,Pedreschi,Correna,Science,"Biological Sciences, BS",N,40070.0
PI0284,2020,Gosling,Floria,Science,"Biological Sciences, BS",Y,8262.0
PI0285,2020,Chatin,Rosana,Science,"Biological Sciences, BS",Y,9262.0
PI0290,2020,Sante,Nadean,Human Sciences & Education,"Kinesiology, BS",Y,30435.79
PI0292,2020,Eagling,Babs,Engineering,"Mechanical Engineering, BS",Y,20284.0
PI0293,2020,Real,Marcella,Engineering,"Computer Science, BS",N,10142.0
PI0300,2020,Ross,Lodovico,Science,"Mathematics, BS",Y,7462.0
PI0301,2020,Fellows,Adrienne,Engineering,"Mechanical Engineering, BS",N,2825.0
PI0305,2020,Sine,Alicea,Mass Communication,"Mass Communication, BA",Y,9894.0
PI0306,2020,Erdely,Arturo,Human Sciences & Education,"Kinesiology, BS",Y,31549.0
PI0313,2020,Dmitrovic,Vaclav,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0320,2020,Royle,Symon,Business,"Marketing, BS",Y,22114.0
PI0322,2020,Gorini,Jareb,Engineering,"Mechanical Engineering, BS",Y,21702.0
PI0323,2020,Farey,Tomas,Human Sciences & Education,"Kinesiology, BS",Y,30076.0
PI0324,2020,Shoveller,Sheri,Engineering,"Mechanical Engineering, BS",Y,9923.36
PI0326,2020,Wrankmore,Milzie,Humanities & Social Sciences,"English, BA",Y,23214.0
PI0327,2020,Warlton,Gaylor,Human Sciences & Education,"Kinesiology, BS",Y,4454.0
PI0328,2020,Arnot,Kilian,Science,"Biological Sciences, BS",Y,12176.92
PI0331,2020,Paddeley,Dee,Science,"Biological Sciences, BS",Y,7862.0
PI0332,2020,Bolderstone,Ebonee,Engineering,"Computer Science, BS",Y,19965.38
PI0336,2020,Cowley,Benoit,Human Sciences & Education,"Kinesiology, BS",Y,13761.09
PI0343,2020,Quilkin,Chrysa,Engineering,"Computer Science, BS",Y,11792.0
PI0345,2020,Wettern,Lannie,Science,"Biological Sciences, BS",Y,8262.0
PI0347,2020,Cassels,Gibby,Mass Communication,"Mass Communication, BA",Y,8262.0
PI0360,2020,Frossell,Sallie,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0361,2020,Hearne,Martie,Science,"Biological Sciences, BS",Y,20284.0
PI0363,2020,Witheford,Jake,Business,"Marketing, BS",Y,8262.0
PI0366,2020,Shevlane,Katleen,Human Sciences & Education,"Kinesiology, BS",Y,20284.0
PI0367,2020,Cawsey,Joseph,Agriculture,"Animal Sciences, BS",Y,14191.07
PI0372,2020,De Simone,Issie,Agriculture,"Animal Sciences, BS",Y,4743.87
PI0373,2020,Cannop,Sayres,Humanities & Social Sciences,"English, BA",Y,10339.0
PI0377,2020,Angear,Giffard,Humanities & Social Sciences,"English, BA",Y,22714.0
PI0385,2020,Northage,Bax,Engineering,"Computer Science, BS",Y,8262.0
PI0389,2020,Cassely,Desmund,Engineering,"Mechanical Engineering, BS",Y,7980.0
PI0392,2020,Mager,Kendrick,Human Sciences & Education,"Kinesiology, BS",Y,9120.0
PI0394,2020,Waring,Georgeanne,Science,"Biological Sciences, BS",Y,9262.0
PI0395,2020,Leathers,Abigale,Agriculture,"Animal Sciences, BS",Y,23587.0
PI0396,2020,Scain,Rhona,Human Sciences & Education,"Kinesiology, BS",Y,26301.48
PI0398,2020,Broddle,Sergio,Business,"Marketing, BS",Y,7862.0
PI0399,2020,MacKenzie,Veronike,Science,"Biological Sciences, BS",Y,7462.0
PI0403,2020,Le Provest,Magdalena,Mass Communication,"Mass Communication, BA",Y,11677.0
PI0404,2020,Meredith,Nahum,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0405,2020,Skerritt,Damaris,Agriculture,"Animal Sciences, BS",Y,9112.0
PI0408,2020,Schapero,Tarrance,Science,"Biological Sciences, BS",Y,10242.0
PI0409,2020,Clardge,Sabina,Science,"Biological Sciences, BS",Y,20284.0
PI0413,2020,Ridehalgh,Brianna,Engineering,"Computer Science, BS",N,13942.0
PI0415,2020,Nesfield,Berne,Business,"Marketing, BS",Y,21693.0
PI0417,2020,Growy,Kipp,Engineering,"Mechanical Engineering, BS",Y,25772.260000000002
PI0419,2020,Simants,Roy,Mass Communication,"Mass Communication, BA",Y,12274.0
PI0421,2020,Percy,Enrichetta,Science,"Biological Sciences, BS",Y,8262.0
PI0424,2020,Montford,Rufe,Human Sciences & Education,"Kinesiology, BS",Y,23218.0
PI0427,2020,Hollows,Teri,Business,"Marketing, BS",N,48358.17
PI0430,2020,Eyeington,Christabella,Science,"Biological Sciences, BS",Y,8473.0
PI0432,2020,Stair,Cordy,Engineering,"Computer Science, BS",Y,25697.34
PI0433,2020,Plevey,Mirabelle,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0436,2020,Fenelow,Dasi,Science,"Biological Sciences, BS",Y,20284.0
PI0442,2020,Claybourn,Piper,Human Sciences & Education,"Kinesiology, BS",Y,16638.35
PI0443,2020,Whitnell,Donny,Engineering,"Mechanical Engineering, BS",Y,8262.0
PI0444,2020,Halston,Clea,Business,"Marketing, BS",Y,7862.0
PI0445,2020,Pettifer,Casi,Mass Communication,"Mass Communication, BA",Y,6926.0
PI0447,2020,Tansley,Arron,Human Sciences & Education,"Kinesiology, BS",N,9894.0
PI0448,2020,Camelin,Silvie,Science,"Biological Sciences, BS",Y,8262.0
PI0449,2020,Ghirardi,Bennett,Science,"Biological Sciences, BS",Y,3731.0
PI0450,2020,Cheves,Gracie,Engineering,"Computer Science, BS",Y,9812.0
PI0453,2020,O' Clovan,Cherri,Engineering,"Computer Science, BS",Y,24682.0
PI0457,2020,Phethean,Gavan,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0459,2020,Hutchens,Cecilla,Engineering,"Computer Science, BS",Y,20284.0
PI0461,2020,Cahn,Randene,Human Sciences & Education,"Kinesiology, BS",Y,15510.0
PI0463,2020,Fassan,Devondra,Human Sciences & Education,"Kinesiology, BS",Y,3731.0
PI0464,2020,Gumbrell,Lilian,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0465,2020,Rings,Cathleen,Agriculture,"Animal Sciences, BS",Y,14233.0
PI0470,2020,Hassur,Glynda,Engineering,"Mechanical Engineering, BS",Y,12712.439999999999
PI0476,2020,Towell,Reider,Engineering,"Mechanical Engineering, BS",Y,9854.0
PI0479,2020,Dowderswell,Sidonnie,Humanities & Social Sciences,"English, BA",Y,1979.0
PI0480,2020,Fane,Tessi,Science,"Biological Sciences, BS",Y,4915.0
PI0486,2020,Hayhoe,Barclay,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0488,2020,Christian,Agneta,Mass Communication,"Mass Communication, BA",Y,12488.39
PI0491,2020,Durtnel,Fran,Science,"Biological Sciences, BS",Y,7862.0
PI0493,2020,Beningfield,Reinhard,Human Sciences & Education,"Kinesiology, BS",Y,10594.380000000001
PI0494,2020,Jackalin,Felita,Science,"Biological Sciences, BS",Y,10807.0
PI0498,2020,Cassey,Alyssa,Engineering,"Computer Science, BS",Y,18399.64
PI0500,2020,Coils,Dorey,Humanities & Social Sciences,"English, BA",Y,11753.0
PI0503,2020,Alekseev,Baldwin,Agriculture,"Animal Sciences, BS",Y,13399.99
PI0506,2020,Gravells,Dena,Science,"Biological Sciences, BS",Y,24060.239999999998
PI0513,2020,Fabri,Mathilda,Business,"Marketing, BS",Y,659.0
PI0514,2020,Maxstead,Timofei,Engineering,"Mechanical Engineering, BS",Y,20284.0
